variant,venue_key,query_id,primary_probe,elapsed_s,timed_out,error,synth_outcome,gap_ran,specialists_dispatched,p1_urls,p1_unique_domains,p1_top_domain,p1_top_domain_share,p1_category_count,p1_categories,final_urls,final_unique_domains,final_top_domain,final_top_domain_share,final_category_count,final_categories,wall_brand_count,wall_brands,has_google_maps_pill,has_google_reviews_pill,has_tripadvisor_pill,tokens_total,tokens_prompt,tokens_candidates,tool_call_counts,faithfulness,completeness,specificity,investigative_stance,judge_error
V0,bar_leon,q2_closures_lessons,True,241.05,False,,ok,False,"guest_intelligence,location_traffic,market_landscape,review_analyst",11,6,trojmiasto.pl,0.455,3,commercial_listings;community;consumer_platforms,11,6,trojmiasto.pl,0.455,3,commercial_listings;community;consumer_platforms,1,TripAdvisor,True,True,True,174270,141685,9010,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 2, ""find_tripadvisor_restaurant"": 1, ""get_tripadvisor_reviews"": 1}",2,5,4,5,
V0,monsun,q1_openings_closings,True,204.75,False,,ok,False,"dynamic_researcher_1,market_landscape",25,9,trojmiasto.pl,0.56,5,commercial_listings;community;consumer_platforms;influencers_blogs;local_press,25,9,trojmiasto.pl,0.56,5,commercial_listings;community;consumer_platforms;influencers_blogs;local_press,1,Uber Eats,True,False,False,129896,95572,5090,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1}",1,5,1,4,
