variant,venue_key,query_id,primary_probe,elapsed_s,timed_out,error,synth_outcome,gap_ran,specialists_dispatched,p1_urls,p1_unique_domains,p1_top_domain,p1_top_domain_share,p1_category_count,p1_categories,final_urls,final_unique_domains,final_top_domain,final_top_domain_share,final_category_count,final_categories,wall_brand_count,wall_brands,has_google_maps_pill,has_google_reviews_pill,has_tripadvisor_pill,tokens_total,tokens_prompt,tokens_candidates,tool_call_counts,faithfulness,completeness,specificity,investigative_stance,judge_error
V2_3,bar_leon,q2_closures_lessons,True,293.17,False,,ok,False,"location_traffic,market_landscape,marketing_digital,menu_pricing,review_analyst",37,19,trojmiasto.pl,0.243,4,commercial_listings;community;consumer_platforms;influencers_blogs,36,18,trojmiasto.pl,0.25,4,commercial_listings;community;consumer_platforms;influencers_blogs,1,TripAdvisor,True,True,True,227197,181109,10533,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 3, ""find_tripadvisor_restaurant"": 2, ""fetch_web_content"": 1, ""get_tripadvisor_reviews"": 1}",4,5,5,5,
V2_3,monsun,q1_openings_closings,True,217.73,False,,ok,False,"location_traffic,market_landscape,marketing_digital,menu_pricing,review_analyst",49,24,trojmiasto.pl,0.245,4,commercial_listings;community;consumer_platforms;local_press,49,24,trojmiasto.pl,0.245,4,commercial_listings;community;consumer_platforms;local_press,1,Wolt,True,True,False,172572,127616,10466,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 4, ""find_tripadvisor_restaurant"": 1}",5,5,5,5,
