variant,venue_key,query_id,primary_probe,elapsed_s,timed_out,error,synth_outcome,gap_ran,specialists_dispatched,p1_urls,p1_unique_domains,p1_top_domain,p1_top_domain_share,p1_category_count,p1_categories,final_urls,final_unique_domains,final_top_domain,final_top_domain_share,final_category_count,final_categories,wall_brand_count,wall_brands,has_google_maps_pill,has_google_reviews_pill,has_tripadvisor_pill,tokens_total,tokens_prompt,tokens_candidates,tool_call_counts,faithfulness,completeness,specificity,investigative_stance,judge_error
V2_1,bar_leon,q1_openings_closings,True,283.09,False,,ok,False,"dynamic_researcher_1,location_traffic,market_landscape,marketing_digital,menu_pricing",47,19,trojmiasto.pl,0.277,4,commercial_listings;community;consumer_platforms;local_press,46,19,trojmiasto.pl,0.283,4,commercial_listings;community;consumer_platforms;local_press,1,Wolt,True,False,False,192583,142357,9428,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""fetch_web_content"": 1}",5,5,5,5,
V2_1,bar_leon,q2_closures_lessons,True,269.22,False,,ok,False,"location_traffic,market_landscape,marketing_digital,menu_pricing,review_analyst",43,21,trojmiasto.pl,0.256,3,commercial_listings;community;consumer_platforms,43,21,trojmiasto.pl,0.256,3,commercial_listings;community;consumer_platforms,2,TripAdvisor;Glovo,True,True,True,203821,159013,10108,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 3, ""find_tripadvisor_restaurant"": 1, ""get_tripadvisor_reviews"": 1}",1,5,2,5,
V2_1,bar_leon,q3_price_comparison,True,272.8,False,,ok,False,"guest_intelligence,marketing_digital,menu_pricing,review_analyst",25,15,wolt.com,0.28,2,consumer_platforms;local_press,16,12,google.com,0.188,2,consumer_platforms;local_press,1,TripAdvisor,True,True,True,266923,227674,10459,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 6, ""find_tripadvisor_restaurant"": 1, ""fetch_web_content"": 9, ""get_tripadvisor_reviews"": 1}",4,5,5,5,
V2_1,monsun,q1_openings_closings,True,250.79,False,,ok,False,"location_traffic,market_landscape,marketing_digital,menu_pricing",32,18,trojmiasto.pl,0.188,3,community;consumer_platforms;local_press,32,18,trojmiasto.pl,0.188,3,community;consumer_platforms;local_press,2,Uber Eats;Wolt,True,False,False,148233,114356,8631,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""search_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1}",5,5,5,5,
V2_1,monsun,q2_closures_lessons,True,244.55,False,,ok,False,"location_traffic,market_landscape,marketing_digital,menu_pricing",10,8,trojmiasto.pl,0.3,2,community;consumer_platforms,10,8,trojmiasto.pl,0.3,2,community;consumer_platforms,1,Uber Eats,True,False,False,148480,107364,8657,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1}",2,5,3,5,
V2_1,monsun,q3_price_comparison,True,265.99,False,,ok,False,"guest_intelligence,marketing_digital,menu_pricing,review_analyst",15,10,wolt.com,0.333,2,community;consumer_platforms,13,10,wolt.com,0.231,2,community;consumer_platforms,1,Wolt,True,True,False,188320,144413,9072,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""search_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 1, ""find_tripadvisor_restaurant"": 1, ""fetch_web_content"": 2}",5,5,5,5,
V2_1,sliwka_w_kompot,q1_openings_closings,True,281.61,False,,ok,False,"location_traffic,market_landscape,marketing_digital,menu_pricing",42,19,esopot.pl,0.19,1,community,37,17,esopot.pl,0.216,1,community,0,,True,False,False,176390,141970,8472,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""fetch_web_content"": 5}",0,5,0,5,
V2_1,sliwka_w_kompot,q2_closures_lessons,True,312.42,False,,ok,False,"location_traffic,market_landscape,marketing_digital,menu_pricing,review_analyst",44,29,esopot.pl,0.136,4,commercial_listings;community;consumer_platforms;industry,44,29,esopot.pl,0.136,4,commercial_listings;community;consumer_platforms;industry,2,TripAdvisor;Glovo,True,True,True,176768,138078,10698,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 4, ""find_tripadvisor_restaurant"": 1, ""get_tripadvisor_reviews"": 1}",5,5,5,5,
V2_1,sliwka_w_kompot,q3_price_comparison,True,308.01,False,,ok,False,"marketing_digital,menu_pricing,review_analyst",32,20,wsopocie.eu,0.125,2,community;consumer_platforms,26,18,wsopocie.eu,0.154,2,community;consumer_platforms,1,TripAdvisor,True,True,True,215443,176599,8258,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""find_tripadvisor_restaurant"": 1, ""get_google_reviews"": 1, ""fetch_web_content"": 9, ""get_tripadvisor_reviews"": 1}",5,5,5,5,
