variant,venue_key,query_id,primary_probe,elapsed_s,timed_out,error,synth_outcome,gap_ran,specialists_dispatched,p1_urls,p1_unique_domains,p1_top_domain,p1_top_domain_share,p1_category_count,p1_categories,final_urls,final_unique_domains,final_top_domain,final_top_domain_share,final_category_count,final_categories,wall_brand_count,wall_brands,has_google_maps_pill,has_google_reviews_pill,has_tripadvisor_pill,tokens_total,tokens_prompt,tokens_candidates,tool_call_counts,faithfulness,completeness,specificity,investigative_stance,judge_error
V0,bar_leon,q2_closures_lessons,True,215.98,False,,ok,False,"guest_intelligence,location_traffic,market_landscape,operations",38,21,trojmiasto.pl,0.342,3,commercial_listings;community;local_press,38,21,trojmiasto.pl,0.342,3,commercial_listings;community;local_press,0,,True,False,False,162917,111059,8385,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1}",5,5,5,5,
V0,monsun,q1_openings_closings,True,288.52,False,,ok,False,"location_traffic,market_landscape",20,9,trojmiasto.pl,0.6,3,commercial_listings;community;consumer_platforms,20,9,trojmiasto.pl,0.6,3,commercial_listings;community;consumer_platforms,1,Uber Eats,True,False,False,107266,80345,7974,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1}",0,5,0,5,
