variant,venue_key,query_id,primary_probe,elapsed_s,timed_out,error,synth_outcome,gap_ran,specialists_dispatched,p1_urls,p1_unique_domains,p1_top_domain,p1_top_domain_share,p1_category_count,p1_categories,final_urls,final_unique_domains,final_top_domain,final_top_domain_share,final_category_count,final_categories,wall_brand_count,wall_brands,has_google_maps_pill,has_google_reviews_pill,has_tripadvisor_pill,tokens_total,tokens_prompt,tokens_candidates,tool_call_counts,faithfulness,completeness,specificity,investigative_stance,judge_error
V2_1,bar_leon,q1_openings_closings,True,233.36,False,,ok,False,"location_traffic,market_landscape,marketing_digital,menu_pricing",36,22,trojmiasto.pl,0.306,2,commercial_listings;community,36,22,trojmiasto.pl,0.306,2,commercial_listings;community,0,,True,False,False,177041,125235,7953,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1}",5,5,5,5,
V2_1,bar_leon,q2_closures_lessons,True,233.71,False,,ok,False,"location_traffic,market_landscape,marketing_digital,menu_pricing",25,14,trojmiasto.pl,0.36,3,commercial_listings;community;consumer_platforms,25,14,trojmiasto.pl,0.36,3,commercial_listings;community;consumer_platforms,1,Glovo,True,False,False,166942,127357,9416,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1}",2,5,4,5,
V2_1,bar_leon,q3_price_comparison,True,294.83,False,,ok,False,"guest_intelligence,marketing_digital,menu_pricing,review_analyst",25,17,trojmiasto.pl,0.16,3,community;consumer_platforms;local_press,18,13,trojmiasto.pl,0.222,3,community;consumer_platforms;local_press,3,TripAdvisor;Uber Eats;Wolt,True,True,True,275554,235460,10356,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""search_restaurants"": 2, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 5, ""find_tripadvisor_restaurant"": 1, ""fetch_web_content"": 8, ""get_tripadvisor_reviews"": 1}",4,5,5,5,
V2_1,monsun,q1_openings_closings,True,224.91,False,,ok,False,"location_traffic,market_landscape,marketing_digital,menu_pricing",24,12,trojmiasto.pl,0.375,4,community;consumer_platforms;influencers_blogs;local_press,24,12,trojmiasto.pl,0.375,4,community;consumer_platforms;influencers_blogs;local_press,1,Wolt,True,False,False,141711,97129,8068,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1}",5,5,5,5,
V2_1,monsun,q2_closures_lessons,True,199.58,False,,ok,False,"location_traffic,market_landscape,marketing_digital,menu_pricing",53,19,trojmiasto.pl,0.396,3,community;consumer_platforms;local_press,51,18,trojmiasto.pl,0.412,3,community;consumer_platforms;local_press,2,Uber Eats;Wolt,True,False,False,175836,142211,9261,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""search_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""fetch_web_content"": 4}",1,5,1,5,
V2_1,monsun,q3_price_comparison,True,279.6,False,,ok,False,"guest_intelligence,marketing_digital,menu_pricing,review_analyst",40,20,wanderlog.com,0.15,2,community;consumer_platforms,40,20,wanderlog.com,0.15,2,community;consumer_platforms,2,TripAdvisor;Wolt,True,True,True,170850,134746,8789,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""search_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 1, ""find_tripadvisor_restaurant"": 6}",5,5,5,5,
V2_1,sliwka_w_kompot,q1_openings_closings,True,186.83,False,,ok,False,"location_traffic,market_landscape,marketing_digital,menu_pricing",13,10,esopot.pl,0.154,1,community,13,10,esopot.pl,0.154,1,community,0,,True,False,False,155355,120970,7986,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1}",2,5,2,5,
V2_1,sliwka_w_kompot,q2_closures_lessons,True,215.74,False,,ok,False,"location_traffic,market_landscape,marketing_digital,menu_pricing",28,13,esopot.pl,0.357,1,community,28,13,esopot.pl,0.357,1,community,0,,True,False,False,127993,92823,8582,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1}",0,5,0,5,
V2_1,sliwka_w_kompot,q3_price_comparison,True,229.57,False,,ok,False,"guest_intelligence,marketing_digital,menu_pricing,review_analyst",41,26,trojmiasto.pl,0.146,2,community;consumer_platforms,41,26,trojmiasto.pl,0.146,2,community;consumer_platforms,3,TripAdvisor;Uber Eats;Glovo,True,True,True,218110,184615,9379,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 6, ""find_tripadvisor_restaurant"": 1, ""get_tripadvisor_reviews"": 1}",5,5,5,5,
