variant,venue_key,query_id,primary_probe,elapsed_s,timed_out,error,synth_outcome,gap_ran,specialists_dispatched,p1_urls,p1_unique_domains,p1_top_domain,p1_top_domain_share,p1_category_count,p1_categories,final_urls,final_unique_domains,final_top_domain,final_top_domain_share,final_category_count,final_categories,wall_brand_count,wall_brands,has_google_maps_pill,has_google_reviews_pill,has_tripadvisor_pill,tokens_total,tokens_prompt,tokens_candidates,tool_call_counts,faithfulness,completeness,specificity,investigative_stance,judge_error
V2_3,bar_leon,q2_closures_lessons,True,392.33,False,,ok,False,"market_landscape,marketing_digital,menu_pricing,review_analyst",34,20,wyborcza.pl,0.147,3,community;consumer_platforms;local_press,32,19,wyborcza.pl,0.156,3,community;consumer_platforms;local_press,2,TripAdvisor;Glovo,True,True,True,240270,193004,13702,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""fetch_web_content"": 2, ""get_google_reviews"": 4, ""find_tripadvisor_restaurant"": 4, ""get_tripadvisor_reviews"": 1}",2,5,3,5,
V2_3,monsun,q1_openings_closings,True,248.67,False,,ok,False,"location_traffic,market_landscape,marketing_digital,menu_pricing,review_analyst",50,22,pyszne.pl,0.16,5,commercial_listings;community;consumer_platforms;industry;local_press,48,22,trojmiasto.pl,0.167,5,commercial_listings;community;consumer_platforms;industry;local_press,1,Wolt,True,True,False,203546,149372,13461,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 5, ""find_tripadvisor_restaurant"": 1, ""fetch_web_content"": 2}",5,5,5,5,
